LSP Name,Lender,Portfolio,Amount,AsOnTimestamp,ScrapeTimestamp,Complete
ADJ Utility Apps Private Limited,,Partner 1,36.63,2025-12-31,2026-01-20 05:24:44,Completed
ADJ Utility Apps Private Limited,,Partner 2,120.94,2025-12-31,2026-01-20 05:24:44,Completed
ADJ Utility Apps Private Limited,,Partner 3,292.27,2025-12-31,2026-01-20 05:24:44,Completed
ADJ Utility Apps Private Limited,,Partner 4,3.93,2025-12-31,2026-01-20 05:24:44,Completed
ADJ Utility Apps Private Limited,,Partner 5,66.63,2025-12-31,2026-01-20 05:24:44,Completed
ADJ Utility Apps Private Limited,,Partner 6,113.09,2025-12-31,2026-01-20 05:24:44,Completed
ADJ Utility Apps Private Limited,,Partner 7,42.31,2025-12-31,2026-01-20 05:24:44,Completed
ADJ Utility Apps Private Limited,,Partner 8,79.15,2025-12-31,2026-01-20 05:24:44,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 1,16.82,2025-12-31,2026-01-20 05:24:44,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 2,179.35,2025-12-31,2026-01-20 05:24:44,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 3,88.56,2025-12-31,2026-01-20 05:24:44,Completed
CRED,A,A1,98.33,2025-12-31,2026-01-20 05:24:50,Completed
CRED,A,A2,71.73,2025-12-31,2026-01-20 05:24:50,Completed
CRED,A,A3,77.09,2025-12-31,2026-01-20 05:24:50,Completed
CRED,A,A4,111.91,2025-12-31,2026-01-20 05:24:50,Completed
CRED,A,A5,203.46,2025-12-31,2026-01-20 05:24:50,Completed
CRED,A,A6,196.54,2025-12-31,2026-01-20 05:24:50,Completed
CRED,A,A7,253.24,2025-12-31,2026-01-20 05:24:50,Completed
CRED,A,A8,346.64,2025-12-31,2026-01-20 05:24:50,Completed
CRED,A,A9,371.83,2025-12-31,2026-01-20 05:24:50,Completed
CRED,A,A10,465.65,2025-12-31,2026-01-20 05:24:50,Completed
CRED,A,A11,736.29,2025-12-31,2026-01-20 05:24:50,Completed
CRED,A,A12,979.55,2025-12-31,2026-01-20 05:24:50,Completed
CRED,B,B1,36.57,2025-12-31,2026-01-20 05:24:50,Completed
CRED,C,C1.1,309.96,2025-12-31,2026-01-20 05:24:50,Completed
CRED,C,C2.1,68.64,2025-12-31,2026-01-20 05:24:50,Completed
CRED,C,C2.2,468.67,2025-12-31,2026-01-20 05:24:50,Completed
CreditVidya,A,A1,98.33,2025-12-31,2026-01-20 05:24:51,Completed
CreditVidya,A,A2,71.73,2025-12-31,2026-01-20 05:24:51,Completed
CreditVidya,A,A3,77.09,2025-12-31,2026-01-20 05:24:51,Completed
CreditVidya,A,A4,111.91,2025-12-31,2026-01-20 05:24:51,Completed
CreditVidya,A,A5,203.46,2025-12-31,2026-01-20 05:24:51,Completed
CreditVidya,A,A6,196.54,2025-12-31,2026-01-20 05:24:51,Completed
CreditVidya,A,A7,253.24,2025-12-31,2026-01-20 05:24:51,Completed
CreditVidya,A,A8,346.64,2025-12-31,2026-01-20 05:24:51,Completed
CreditVidya,A,A9,371.83,2025-12-31,2026-01-20 05:24:51,Completed
CreditVidya,A,A10,465.65,2025-12-31,2026-01-20 05:24:51,Completed
CreditVidya,A,A11,736.29,2025-12-31,2026-01-20 05:24:51,Completed
CreditVidya,A,A12,979.55,2025-12-31,2026-01-20 05:24:51,Completed
CreditVidya,B,B1,36.57,2025-12-31,2026-01-20 05:24:51,Completed
CreditVidya,C,C1.1,309.96,2025-12-31,2026-01-20 05:24:51,Completed
CreditVidya,C,C2.1,68.64,2025-12-31,2026-01-20 05:24:51,Completed
CreditVidya,C,C2.2,468.67,2025-12-31,2026-01-20 05:24:51,Completed
Fingel Management Services Pvt. Ltd.,,Portfolio - 1,0.05,2023-06-30,2026-01-20 05:24:55,Completed
Finsall Resources Private Limited,,Grand Total (64 portfolios),454.1,2025-12-31,2026-01-20 05:24:55,Completed
Flexi Payment,Portfolio 1,Portfolio 1,19.97,2025-05-31,2026-01-20 05:25:00,Completed
Flexi Payment,Portfolio 2,Portfolio 2,3.96,2025-05-31,2026-01-20 05:25:00,Completed
Flexi Payment,Portfolio 3,Portfolio 3,1.06,2025-05-31,2026-01-20 05:25:00,Completed
Flexi Payment,Portfolio 4,Portfolio 4,0.31,2025-05-31,2026-01-20 05:25:00,Completed
Flexi Payment,Portfolio 5,Portfolio 5,0.21,2025-05-31,2026-01-20 05:25:00,Completed
Flexi Payment,Portfolio 6,Portfolio 6,0.82,2025-05-31,2026-01-20 05:25:00,Completed
Flexi Payment,Portfolio 7,Portfolio 7,0.59,2025-05-31,2026-01-20 05:25:00,Completed
GetVantage Tech Private Limited,,1,0.39,2025-10-31,2026-01-20 05:25:00,Completed
Groww Credit,Portfolio A1,Portfolio A1,13.16,2025-12-31,2026-01-20 05:25:01,Completed
Kissht,1,Portfolio 1,167.87,2025-12-31,2026-01-20 05:25:02,Completed
Kissht,2,Portfolio 1,78.58,2025-12-31,2026-01-20 05:25:02,Completed
Kissht,2,Portfolio 2,180.47,2025-12-31,2026-01-20 05:25:02,Completed
Kissht,2,Portfolio 3,384.21,2025-12-31,2026-01-20 05:25:02,Completed
Kissht,3,Portfolio 1,137.33,2025-12-31,2026-01-20 05:25:02,Completed
Kissht,3,Portfolio 2,379.85,2025-12-31,2026-01-20 05:25:02,Completed
Kissht,4,Portfolio 1,0.37,2025-12-31,2026-01-20 05:25:02,Completed
KrazyBee Services Limited,,Portfolio- 1,1396.76,2025-12-31,2026-01-20 05:25:03,Completed
KrazyBee Services Limited,,Portfolio- 2,5006.15,2025-12-31,2026-01-20 05:25:03,Completed
KrazyBee Services Limited,,Portfolio- 3,1769.54,2025-12-31,2026-01-20 05:25:03,Completed
KrazyBee Services Limited,,Portfolio- 4,3640.28,2025-12-31,2026-01-20 05:25:03,Completed
KrazyBee Services Limited,,Portfolio- 5,1591.03,2025-12-31,2026-01-20 05:25:03,Completed
KrazyBee Services Limited,,Portfolio- 6,1507.95,2025-12-31,2026-01-20 05:25:03,Completed
KrazyBee Services Limited,,Portfolio- 7,967.54,2025-12-31,2026-01-20 05:25:03,Completed
KrazyBee Services Limited,,Portfolio- 8,933.64,2025-12-31,2026-01-20 05:25:03,Completed
