LSP Name,Lender,Portfolio,Amount,AsOnTimestamp,ScrapeTimestamp,Complete
Moneyview Limited,,Partner 1,286.18,,2026-01-12 04:17:16,Partial
Moneyview Limited,,Partner 2,354.29,,2026-01-12 04:17:16,Partial
Moneyview Limited,,Partner 3,1.0,,2026-01-12 04:17:16,Partial
Moneyview Limited,,Partner 4,823.86,,2026-01-12 04:17:16,Partial
Moneyview Limited,,Partner 5,3.0,,2026-01-12 04:17:16,Partial
Moneyview Limited,,Partner 6,0.05,,2026-01-12 04:17:16,Partial
Moneyview Limited,,Partner 7,1.0,,2026-01-12 04:17:16,Partial
Moneyview Limited,,Partner 8,416.92,,2026-01-12 04:17:16,Partial
Moneyview Limited,,Partner 9,323.75,,2026-01-12 04:17:16,Partial
Moneyview Limited,,Partner 10,158.52,,2026-01-12 04:17:16,Partial
Moneyview Limited,,Partner 11,4.45,,2026-01-12 04:17:16,Partial
Moneyview Limited,,Partner 12,948.44,,2026-01-12 04:17:16,Partial
Moneyview Limited,,Partner 13,472.65,,2026-01-12 04:17:16,Partial
Moneyview Limited,,Partner 14,423.03,,2026-01-12 04:17:16,Partial
Moneyview Limited,,Partner 15,26.42,,2026-01-12 04:17:16,Partial
Moneyview Limited,,Partner 16,34.85,,2026-01-12 04:17:16,Partial
Moneyview Limited,,Partner 17,2.61,,2026-01-12 04:17:16,Partial
SaveIN Fintech Pvt Ltd,,Cohort 1,,,2026-01-12 04:18:06,Partial
SaveIN Fintech Pvt Ltd,,Cohort 2,,,2026-01-12 04:18:06,Partial
SaveIN Fintech Pvt Ltd,,Cohort 3,,,2026-01-12 04:18:06,Partial
SaveIN Fintech Pvt Ltd,,Cohort 4,,,2026-01-12 04:18:06,Partial
SaveIN Fintech Pvt Ltd,,Cohort 5,,,2026-01-12 04:18:06,Partial
SaveIN Fintech Pvt Ltd,,Cohort 6,,,2026-01-12 04:18:06,Partial
Vaibhav Vyapaar Private Limited (VVPL),,Portfolio – 1,11.92,2025-10-31,2026-01-12 04:18:25,Completed
Vaibhav Vyapaar Private Limited (VVPL),,Portfolio – 2,3.75,2025-10-31,2026-01-12 04:18:25,Completed
Smartcoin Financials Private Limited,,Portfolio 1,343.06,,2026-01-12 04:18:49,Partial
Smartcoin Financials Private Limited,,Portfolio 2,221.0,,2026-01-12 04:18:49,Partial
Smartcoin Financials Private Limited,,Portfolio 3,46.16,,2026-01-12 04:18:49,Partial
Smartcoin Financials Private Limited,,Portfolio 4,220.83,,2026-01-12 04:18:49,Partial
Smartcoin Financials Private Limited,,Grand Total,831.04,,2026-01-12 04:18:49,Partial
PhonePe Lending Services Private Limited,S.No,S.No,,,2026-01-12 04:18:50,Partial
PhonePe Lending Services Private Limited,1,1,1.0,2026-01-01,2026-01-12 04:18:50,Partial
PhonePe Lending Services Private Limited,2,2,2.0,2026-01-02,2026-01-12 04:18:50,Partial
PhonePe Lending Services Private Limited,3,3,3.0,2026-01-03,2026-01-12 04:18:50,Partial
OnionLife Private Limited,,Portfolio 1,18.28,,2026-01-12 04:19:01,Partial
OnionLife Private Limited,,Portfolio 2,8.08,,2026-01-12 04:19:01,Partial
OnionLife Private Limited,,Portfolio 3,7.88,,2026-01-12 04:19:01,Partial
OnionLife Private Limited,,Portfolio 4,5.54,,2026-01-12 04:19:01,Partial
OnionLife Private Limited,,Portfolio 5,2.31,,2026-01-12 04:19:01,Partial
OnionLife Private Limited,,Portfolio 6,2.23,,2026-01-12 04:19:01,Partial
OnionLife Private Limited,,Portfolio 7,1.84,,2026-01-12 04:19:01,Partial
OnionLife Private Limited,,Portfolio 8,1.67,,2026-01-12 04:19:01,Partial
OnionLife Private Limited,,Portfolio 9,0.01,,2026-01-12 04:19:01,Partial
OnionLife Private Limited,,Total,47.85,,2026-01-12 04:19:01,Partial
OnEMI Technlology Solutions Limited,1,Portfolio 1,167.87,,2026-01-12 04:19:01,Partial
OnEMI Technlology Solutions Limited,2,Portfolio 1,78.58,,2026-01-12 04:19:01,Partial
OnEMI Technlology Solutions Limited,,Portfolio 2,180.47,,2026-01-12 04:19:01,Partial
OnEMI Technlology Solutions Limited,,Portfolio 3,384.21,,2026-01-12 04:19:01,Partial
OnEMI Technlology Solutions Limited,3,Portfolio 1,137.33,,2026-01-12 04:19:01,Partial
OnEMI Technlology Solutions Limited,,Portfolio 2,379.85,,2026-01-12 04:19:01,Partial
OnEMI Technlology Solutions Limited,4,Portfolio 1,0.37,,2026-01-12 04:19:01,Partial
OnEMI Technlology Solutions Limited,4,7,1.0,,2026-01-12 04:19:01,Partial
Si Creva Capital Services Private Limited,1,Portfolio 1,154.63,,2026-01-12 04:19:02,Partial
Si Creva Capital Services Private Limited,,Portfolio 2,52.43,,2026-01-12 04:19:02,Partial
